"euid","half","name","play_time","grab","grab_team_for","grab_team_against","grab_whilst_opponents_prevent","grab_whilst_opponents_prevent_team_for","grab_whilst_opponents_prevent_team_against","opponents_grab_whilst_my_prevent","cap","cap_team_for","cap_team_against","hold","hold_team_for","hold_team_against","prevent","prevent_team_for","prevent_team_against","block","block_team_for","block_team_against","button","button_team_for","button_team_against","drop","drop_team_for","drop_team_against","drop_within_my_half","drop_within_my_half_team_for","drop_within_my_half_team_against","drop_within_5_tiles_from_my_base","drop_within_2_tiles_from_my_base","return","return_team_for","return_team_against","return_streak","return_from_button","return_from_button_team_for","return_from_button_team_against","return_within_my_half","return_within_my_half_team_for","return_within_my_half_team_against","return_within_5_tiles_from_opponents_base","return_within_5_tiles_from_opponents_base_team_for","return_within_5_tiles_from_opponents_base_team_against","return_within_2_tiles_from_opponents_base","return_within_2_tiles_from_opponents_base_team_for","return_within_2_tiles_from_opponents_base_team_against","key_return","key_return_team_for","key_return_team_against","quick_return","quick_return_team_for","quick_return_team_against","tag","tag_team_for","tag_team_against","tag_streak","tag_within_my_half","tag_within_my_half_team_for","tag_within_my_half_team_against","pop","pop_team_for","pop_team_against","pop_within_my_half","pop_within_my_half_team_for","pop_within_my_half_team_against","kiss","kiss_team","good_kiss","good_kiss_team","bad_kiss","bad_kiss_team","flaccid","flaccid_team_for","flaccid_team_against","long_hold","long_hold_team_for","long_hold_team_against","long_hold_and_cap","long_hold_and_cap_team_for","long_hold_and_cap_team_against","super_hold","super_hold_team_for","super_hold_team_against","super_hold_and_cap","super_hold_and_cap_team_for","super_hold_and_cap_team_against","regrab","regrab_team_for","regrab_team_against","handoff","handoff_team_for","handoff_team_against","good_handoff","good_handoff_team_for","good_handoff_team_against","reset_from_my_return","reset_from_my_prevent","reset_team_for","reset_team_against","pup_rb","pup_rb_time","pup_rb_team_for","pup_rb_team_for_time","pup_rb_team_against","pup_rb_team_against_time","pup_jj","pup_jj_time","pup_jj_team_for","pup_jj_team_for_time","pup_jj_team_against","pup_jj_team_against_time","pup_tp","pup_tp_time","pup_tp_team_for","pup_tp_team_for_time","pup_tp_team_against","pup_tp_team_against_time","cap_from_prevent","cap_from_prevent_team_for","cap_from_prevent_team_against","cap_from_my_prevent","cap_from_block","cap_from_block_team_for","cap_from_block_team_against","cap_from_my_block","cap_from_regrab","cap_from_regrab_team_for","cap_from_regrab_team_against","cap_from_handoff","cap_from_my_handoff","cap_from_handoff_team_for","cap_from_handoff_team_against","cap_from_grab_whilst_opponents_prevent","cap_from_grab_whilst_opponents_prevent_team_for","cap_from_grab_whilst_opponents_prevent_team_against","prevent_whilst_team_hold_time","hold_whilst_team_prevent_time","hold_whilst_prevent_team_for","hold_whilst_prevent_team_against","hold_whilst_opponents_dont","hold_whilst_opponents_dont_team_for","hold_whilst_opponents_dont_team_against","longest_hold","result_half_win","result_half_tie","result_half_lose","position_win","position_win_time","position_tie","position_tie_time","position_loss","position_loss_time","kept_flag","score","team","flair","map","server","Season","Week","Team.1","Team.2","Half"
29280,1,"imperious",600,13,31,22,8,15,2,0,2,3,1,94,244,264,11,371,451,22,167,96,5,15,10,11,28,21,0,3,11,0,0,2,19,28,1,0,0,0,0,9,25,1,3,0,0,1,0,0,2,0,0,2,6,5,27,32,3,0,13,25,11,36,31,0,8,17,0,1,0,1,0,0,1,6,2,1,3,4,0,1,0,0,0,1,0,0,0,3,11,9,0,0,0,0,0,0,0,0,1,4,1,1,5,33,4,14,1,20,3,60,7,150,1,20,5,100,5,100,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7,23,44,66,45,99,120,31,1,0,0,1,550,1,50,0,0,0,43,2,"","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"Green",600,3,31,22,1,15,2,1,0,3,1,52,244,264,173,371,451,33,167,96,0,15,10,3,28,21,1,3,11,0,0,10,19,28,4,0,0,0,6,9,25,1,3,0,0,1,0,2,2,0,2,2,6,12,27,32,6,8,13,25,4,36,31,2,8,17,1,1,1,1,0,0,0,6,2,1,3,4,0,1,0,0,0,1,0,0,0,1,11,9,0,0,0,0,0,0,0,1,1,4,0,0,5,33,4,14,1,20,3,60,7,150,1,20,5,100,5,100,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,49,0,44,66,4,99,120,21,1,0,0,1,550,1,50,0,0,0,43,2,"degree.magma","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"MikeC",600,12,22,31,2,2,15,1,0,1,3,66,264,244,36,451,371,34,96,167,0,10,15,12,21,28,5,11,3,1,0,5,28,19,3,0,0,0,3,25,9,0,0,3,0,0,1,0,0,2,0,6,2,6,32,27,3,3,25,13,12,31,36,5,17,8,1,1,0,0,1,1,2,2,6,1,4,3,0,0,1,0,1,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,4,1,1,7,4,14,5,33,1,20,7,150,3,60,3,60,5,100,5,100,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,31,22,66,44,47,120,99,22,0,0,1,0,0,1,50,1,550,0,25,1,"event.stPatricksDay","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"DrMcDonald",600,1,22,31,0,2,15,10,0,1,3,16,264,244,204,451,371,10,96,167,5,10,15,1,21,28,1,11,3,0,0,8,28,19,5,0,0,0,8,25,9,0,0,3,0,0,1,0,0,2,2,6,2,8,32,27,5,8,25,13,6,31,36,5,17,8,0,1,0,0,0,1,0,2,6,0,4,3,0,0,1,0,1,0,0,0,0,1,9,11,0,0,0,0,0,0,2,2,4,1,1,0,4,14,5,33,1,20,7,150,3,60,1,20,5,100,5,100,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,14,66,44,16,120,99,16,0,0,1,0,0,1,50,1,550,0,32,1,"event.carrot","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"zrw",600,8,22,31,0,2,15,1,1,1,3,158,264,244,7,451,371,30,96,167,0,10,15,7,21,28,4,11,3,2,1,1,28,19,1,0,0,0,1,25,9,0,0,3,0,0,1,0,0,2,0,6,2,4,32,27,3,1,25,13,9,31,36,4,17,8,0,1,0,0,0,1,0,2,6,2,4,3,0,0,1,1,1,0,0,0,0,4,9,11,0,0,0,0,0,0,0,0,4,1,1,7,4,14,5,33,2,50,7,150,3,60,1,20,5,100,5,100,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29,66,44,54,120,99,69,0,0,1,0,0,1,50,1,550,0,39,1,"special.supporter3","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"Heisy",600,3,31,22,0,15,2,2,0,3,1,32,244,264,184,371,451,35,167,96,5,15,10,3,28,21,2,3,11,0,0,6,19,28,4,0,0,0,3,9,25,1,3,0,1,1,0,0,2,0,0,2,6,9,27,32,6,5,13,25,8,36,31,5,8,17,0,1,0,1,0,0,0,6,2,0,3,4,0,1,0,0,0,1,0,0,0,3,11,9,0,0,0,0,0,0,1,0,1,4,2,19,5,33,4,14,0,0,3,60,7,150,3,60,5,100,5,100,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41,3,44,66,6,99,120,14,1,0,0,1,550,1,50,0,0,0,36,2,"","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"brxtr",600,12,31,22,6,15,2,0,1,3,1,66,244,264,3,371,451,77,167,96,5,15,10,11,28,21,0,3,11,0,0,1,19,28,1,0,0,0,0,9,25,0,3,0,0,1,0,0,2,0,0,2,6,1,27,32,1,0,13,25,13,36,31,1,8,17,0,1,0,1,0,0,5,6,2,1,3,4,1,1,0,0,0,1,0,0,0,4,11,9,0,0,0,0,0,0,0,0,1,4,2,13,5,33,4,14,1,20,3,60,7,150,0,0,5,100,5,100,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,18,44,66,45,99,120,26,1,0,0,1,550,1,50,0,0,0,32,2,"special.contest","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29280,1,"Baz",600,1,22,31,0,2,15,14,0,1,3,24,264,244,204,451,371,23,96,167,5,10,15,1,21,28,1,11,3,0,0,14,28,19,13,0,0,0,13,25,9,0,0,3,0,0,1,0,0,2,4,6,2,14,32,27,13,13,25,13,4,31,36,3,17,8,0,1,0,0,0,1,0,2,6,1,4,3,0,0,1,0,1,0,0,0,0,1,9,11,0,0,0,0,0,0,2,2,4,1,1,0,4,14,5,33,3,60,7,150,3,60,0,0,5,100,5,100,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,68,0,66,44,3,120,99,24,0,0,1,0,0,1,50,1,550,0,50,1,"boards.day","IRON","tagpro-orbit.koalabeast.com",5,"1","HCA","ATL","half.1"
29279,1,"Big Riddimz",600,4,39,25,3,19,10,8,0,0,6,38,244,284,127,328,366,35,155,185,10,25,25,4,39,19,1,13,6,1,0,7,18,39,3,0,0,0,6,12,26,0,1,3,0,1,2,0,0,1,0,4,12,11,26,43,4,7,13,28,9,48,27,5,20,13,0,3,0,1,0,2,1,12,4,0,2,4,0,0,1,0,0,0,0,0,0,2,13,9,0,4,0,0,1,0,0,1,2,0,1,0,5,13,8,53,1,20,5,100,4,80,2,40,4,87,3,60,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,57,14,73,97,14,119,159,14,0,0,1,0,0,1,80,1,520,0,33,1,"boards.day","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"Fred_",600,2,25,39,0,10,19,15,0,6,0,41,284,244,153,366,328,54,185,155,0,25,25,2,19,39,2,6,13,0,0,20,39,18,6,0,0,0,13,26,12,1,3,1,1,2,1,0,1,0,4,12,4,20,43,26,6,13,28,13,5,27,48,5,13,20,1,3,1,2,0,1,0,4,12,1,4,2,0,1,0,0,0,0,0,0,0,2,9,13,0,0,4,0,0,1,0,0,0,2,1,2,8,53,5,13,1,20,4,80,5,100,0,0,3,60,4,87,0,5,0,4,0,4,0,4,0,2,0,0,0,0,0,0,2,0,86,13,97,73,22,159,119,22,1,0,0,1,520,1,80,0,0,0,55,2,"event.stPatricksDay2","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"gofio",600,9,25,39,2,10,19,2,1,6,0,85,284,244,19,366,328,40,185,155,0,25,25,8,19,39,2,6,13,1,1,3,39,18,1,0,0,0,2,26,12,0,3,1,0,2,1,0,1,0,1,12,4,3,43,26,1,2,28,13,8,27,48,2,13,20,1,3,0,2,1,1,2,4,12,1,4,2,0,1,0,0,0,0,0,0,0,4,9,13,0,0,4,0,0,1,0,0,0,2,3,13,8,53,5,13,1,20,4,80,5,100,1,20,3,60,4,87,1,5,0,1,0,4,0,0,0,2,0,0,0,0,0,0,2,0,19,44,97,73,58,159,119,24,1,0,0,1,520,1,80,0,0,0,31,2,"degree.alien","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"Julien",600,17,39,25,8,19,10,1,0,0,6,87,244,284,40,328,366,47,155,185,5,25,25,17,39,19,4,13,6,1,1,1,18,39,1,0,0,0,0,12,26,0,1,3,0,1,2,0,0,1,0,4,12,1,26,43,1,0,13,28,18,48,27,5,20,13,1,3,0,1,1,2,6,12,4,0,2,4,0,0,1,0,0,0,0,0,0,5,13,9,2,4,0,1,1,0,0,0,2,0,1,0,5,13,8,53,3,60,5,100,4,80,0,0,4,87,3,60,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,20,25,73,97,47,119,159,14,0,0,1,0,0,1,80,1,520,0,12,1,"boards.month","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"420assman",600,15,39,25,6,19,10,0,0,0,6,103,244,284,1,328,366,43,155,185,5,25,25,15,39,19,7,13,6,1,1,2,18,39,1,0,0,0,1,12,26,0,1,3,0,1,2,0,0,1,1,4,12,6,26,43,3,1,13,28,17,48,27,8,20,13,1,3,0,1,1,2,4,12,4,2,2,4,0,0,1,0,0,0,0,0,0,5,13,9,2,4,0,0,1,0,2,0,2,0,1,9,5,13,8,53,0,0,5,100,4,80,2,47,4,87,3,60,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,31,73,97,52,119,159,35,0,0,1,0,0,1,80,1,520,0,16,1,"degree.plane","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"Strategio",600,13,25,39,7,10,19,1,5,6,0,157,284,244,18,366,328,25,185,155,5,25,25,8,19,39,2,6,13,0,0,1,39,18,1,0,0,0,0,26,12,1,3,1,0,2,1,0,1,0,0,12,4,4,43,26,2,2,28,13,10,27,48,3,13,20,0,3,0,2,0,1,1,4,12,2,4,2,1,1,0,0,0,0,0,0,0,3,9,13,0,0,4,0,0,1,0,0,0,2,3,32,8,53,5,13,1,20,4,80,5,100,1,20,3,60,4,87,3,5,0,0,0,4,0,1,2,2,0,0,0,0,0,2,2,0,3,40,97,73,79,159,119,38,1,0,0,1,520,1,80,0,0,0,70,2,"winRate.good","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"Booya Ball",600,3,39,25,2,19,10,8,0,0,6,16,244,284,160,328,366,30,155,185,5,25,25,3,39,19,1,13,6,0,0,8,18,39,3,0,0,0,5,12,26,1,1,3,1,1,2,0,0,1,3,4,12,8,26,43,3,5,13,28,4,48,27,2,20,13,1,3,1,1,0,2,1,12,4,0,2,4,0,0,1,0,0,0,0,0,0,1,13,9,0,4,0,0,1,0,0,1,2,0,2,4,5,13,8,53,1,20,5,100,4,80,0,0,4,87,3,60,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,87,3,73,97,6,119,159,10,0,0,1,0,0,1,80,1,520,0,32,1,"event.carrot","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
29279,1,"The Real IRS",600,1,25,39,1,10,19,15,0,6,0,0,284,244,176,366,328,66,185,155,20,25,25,1,19,39,0,6,13,0,0,15,39,18,6,0,0,0,11,26,12,1,3,1,1,2,1,1,1,0,7,12,4,16,43,26,6,11,28,13,4,27,48,3,13,20,1,3,1,2,0,1,1,4,12,0,4,2,0,1,0,0,0,0,0,0,0,0,9,13,0,0,4,0,0,1,0,0,0,2,1,6,8,53,5,13,1,20,4,80,5,100,1,20,3,60,4,87,0,5,0,5,0,4,0,4,0,2,0,0,0,0,0,0,2,0,108,0,97,73,0,159,119,0,1,0,0,1,520,1,80,0,0,0,52,2,"winRate.insane","IRON","tagpro-orbit.koalabeast.com",5,"1","FKP","ITB","half.1"
31079,1,"Jufda",600,14,27,37,12,22,17,3,0,1,1,87,129,237,26,387,431,25,106,169,5,5,45,13,25,35,3,4,4,0,0,3,34,25,1,0,0,0,2,30,21,0,0,0,0,0,0,0,1,0,1,8,9,8,43,34,5,3,32,25,19,40,48,6,14,13,0,0,0,0,0,0,4,9,8,1,1,2,0,0,0,0,0,0,0,0,0,1,2,10,1,3,6,0,0,4,0,0,2,2,2,19,6,37,3,10,1,20,6,120,5,100,2,40,5,100,5,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,81,34,52,160,35,0,1,0,0,0,2,554,1,46,1,22,1,"special.bitcoin","IRON","tagpro-chord.koalabeast.com",5,"1","RBC","TPR","half.1"
31079,1,"Carbon",600,17,37,27,10,17,22,1,0,1,1,118,237,129,9,431,387,61,169,106,5,45,5,17,35,25,1,4,4,0,0,1,25,34,1,0,0,0,0,21,30,0,0,0,0,0,0,0,0,1,0,9,8,4,34,43,2,1,25,32,19,48,40,2,13,14,0,0,0,0,0,0,3,8,9,1,2,1,0,0,0,0,0,0,0,0,0,3,10,2,5,6,3,3,4,0,0,0,2,2,2,10,3,10,6,37,2,40,5,100,6,120,1,20,5,100,5,100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,81,41,83,160,52,47,0,1,0,1,46,2,554,0,0,0,27,2,"special.mod","IRON","tagpro-chord.koalabeast.com",5,"1","RBC","TPR","half.1"
31079,1,"Nilus",600,1,27,37,1,22,17,14,0,1,1,2,129,237,196,387,431,20,106,169,0,5,45,1,25,35,0,4,4,0,0,15,34,25,14,0,0,0,14,30,21,0,0,0,0,0,0,0,1,0,6,8,9,17,43,34,16,15,32,25,2,40,48,1,14,13,0,0,0,0,0,0,0,9,8,0,1,2,0,0,0,0,0,0,0,0,0,0,2,10,0,3,6,0,0,4,1,1,2,2,2,7,6,37,3,10,2,40,6,120,5,100,1,20,5,100,5,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,41,81,2,52,160,2,0,1,0,0,0,2,554,1,46,0,46,1,"boards.day","IRON","tagpro-chord.koalabeast.com",5,"1","RBC","TPR","half.1"
31079,1,"Fat",600,3,37,27,2,17,22,13,0,1,1,16,237,129,148,431,387,10,169,106,20,45,5,3,35,25,1,4,4,0,0,9,25,34,3,0,0,0,8,21,30,0,0,0,0,0,0,0,0,1,2,9,8,13,34,43,5,10,25,32,7,48,40,3,13,14,0,0,0,0,0,0,1,8,9,0,2,1,0,0,0,0,0,0,0,0,0,1,10,2,1,6,3,1,4,0,0,1,2,2,1,1,3,10,6,37,2,40,5,100,6,120,2,40,5,100,5,100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,81,41,9,160,52,15,0,1,0,1,46,2,554,0,0,0,34,2,"","IRON","tagpro-chord.koalabeast.com",5,"1","RBC","TPR","half.1"
31079,1,"orb",600,3,27,37,2,22,17,10,1,1,1,10,129,237,159,387,431,15,106,169,0,5,45,2,25,35,0,4,4,0,0,10,34,25,4,0,0,0,9,30,21,0,0,0,0,0,0,0,1,0,1,8,9,10,43,34,4,9,32,25,4,40,48,2,14,13,0,0,0,0,0,0,1,9,8,0,1,2,0,0,0,0,0,0,0,0,0,0,2,10,1,3,6,0,0,4,1,1,2,2,1,5,6,37,3,10,1,20,6,120,5,100,0,0,5,100,5,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,41,81,5,52,160,8,0,1,0,0,0,2,554,1,46,0,55,1,"","IRON","tagpro-chord.koalabeast.com",5,"1","RBC","TPR","half.1"
